
2023-01-20 05:54:45: Server is starting connection on (127.0.10.10, 55555)
2023-01-20 05:55:12: Receive UDP datagram from: ('127.0.10.10', 50001).
2023-01-20 05:55:12: Server send UDP datagram '1 - 3' to: ('127.0.10.10', 50001).
2023-01-20 05:55:20: Receive UDP datagram from: ('127.0.10.10', 50001).
2023-01-20 05:55:20: Server send UDP datagram '1 - 1' to: ('127.0.10.10', 50001).
2023-01-20 05:55:30: Receive UDP datagram from: ('127.0.10.10', 50001).
2023-01-20 05:55:30: Server send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:32: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:32: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:33: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:33: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:33: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:33: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:34: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:34: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:34: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:34: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:34: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:34: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:34: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:34: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:35: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:35: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:35: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:35: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:35: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:35: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:35: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:35: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:35: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:35: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:35: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:35: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:35: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:35: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:35: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:35: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:36: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:36: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:36: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:36: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:36: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:36: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
2023-01-20 05:55:36: Server send UDP datagram '2 - 0' to: ('127.0.10.10', 50001).
